,pdbid,-logKd/Ki,include,set
0,3zzf,0.4,True,general
1,3gww,0.45,True,general
2,1w8l,0.49,True,general
3,3fqa,0.49,True,general
4,1zsb,0.6,True,general
5,4obv,0.75,True,general
6,1wkm,0.82,True,general
7,3k41,0.82,True,general
8,4eu3,0.82,True,general
9,2w97,0.96,True,general
10,1p0y,1.0,True,general
11,2b1r,1.0,True,general
12,2d2v,1.0,True,general
13,1aw1,1.05,True,general
14,1maw,1.1,True,general
15,3fl9,1.11,True,general
16,5eb2,1.11,True,general
17,4lh2,1.24,True,general
18,4to8,1.24,True,general
19,4fci,1.26,True,general
20,4fck,1.26,True,general
21,4clp,1.27,True,general
22,1f9g,1.28,True,general
23,1a0t,1.3,True,general
24,1b74,1.3,True,general
25,2fah,1.3,True,general
26,5oxm,1.3,True,general
27,2igw,1.31,True,general
28,5mnc,1.31,True,general
29,5mny,1.31,True,general
30,5moo,1.31,True,general
31,2vl1,1.35,True,general
32,3nm6,1.35,True,general
33,1qpb,1.36,True,general
34,1hty,1.4,True,general
35,1o4l,1.4,True,general
36,1o4m,1.4,True,general
37,1o4n,1.4,True,general
38,2hdq,1.4,True,general
39,3eor,1.4,True,general
40,3e81,1.43,True,general
41,1ozv,1.44,True,general
42,1utp,1.44,True,general
43,5eb3,1.45,True,general
44,1tnk,1.49,True,general
45,4bh4,1.49,True,general
46,5vqe,1.49,True,general
47,4lh3,1.52,True,general
48,5ct1,1.52,True,general
49,5ele,1.52,True,general
50,3mwe,1.54,True,general
51,4amw,1.55,True,general
52,1iig,1.57,True,general
53,3rup,1.57,True,general
54,5cs5,1.58,True,general
55,5ofv,1.58,True,general
56,2b1q,1.59,True,general
57,1w8m,1.6,True,general
58,3itc,1.6,True,general
59,2it4,1.62,True,general
60,1a7t,1.64,True,general
61,4d63,1.64,True,general
62,1hgj,1.66,True,general
63,1rdj,1.66,True,general
64,2o9r,1.68,True,general
65,4qsw,1.68,True,general
68,2sfp,1.7,True,general
69,3gf2,1.7,True,general
70,3oay,1.7,True,general
71,4tyb,1.7,True,general
72,6cex,1.7,True,general
73,6cf5,1.7,True,general
74,3g6m,1.71,True,general
75,2hdr,1.72,True,general
76,3ern,1.72,True,general
77,3vzg,1.72,True,general
78,3zst,1.72,True,general
79,5y61,1.72,True,general
80,1u2y,1.74,True,general
81,4qsx,1.74,True,general
82,5y62,1.74,True,general
83,5ggj,1.75,True,general
85,4bgx,1.77,True,general
86,3f39,1.78,True,general
87,5ggl,1.78,True,general
88,2zgm,1.79,True,general
89,1ga8,1.8,True,general
90,3rxh,1.8,True,general
91,1af6,1.82,True,general
92,1bra,1.82,True,general
93,1d5r,1.82,True,general
94,1y1m,1.82,True,general
95,3eqb,1.82,True,general
96,4ahv,1.82,True,general
97,1rdn,1.84,True,general
98,1fd7,1.85,True,general
99,3khv,1.85,True,general
100,1mwt,1.88,True,general
101,1tnl,1.88,True,general
102,2ay2,1.88,True,general
103,4x8s,1.89,True,general
104,1f2p,1.9,True,general
105,4mrh,1.9,True,general
106,1f2o,1.91,True,general
107,1efi,1.92,True,general
108,3ehn,1.92,True,general
109,4bh3,1.92,True,general
110,2rjr,1.94,True,general
111,5nn4,1.94,True,general
112,4mrf,1.95,True,general
113,1tnj,1.96,True,general
114,2gga,1.96,True,general
115,5oxn,1.96,True,general
116,1wdq,1.98,True,general
117,3i3d,1.99,True,general
118,1gbt,2.0,True,general
119,1ing,2.0,True,general
120,2bmv,2.0,True,general
121,2hds,2.0,True,general
122,2r58,2.0,True,refined
123,3c2f,2.0,True,refined
124,3g2y,2.0,True,refined
125,3pce,2.0,True,refined
126,3rv3,2.0,True,general
127,4awj,2.0,True,general
128,4ctk,2.0,True,general
129,4kz5,2.0,True,general
130,4qsu,2.0,True,refined
131,4qsv,2.0,True,refined
132,4u58,2.0,True,general
133,4y4g,2.0,True,general
134,6evq,2.0,True,general
135,4ty8,2.03,True,general
136,5ekx,2.03,True,general
137,5nzq,2.03,True,general
138,2ks9,2.04,True,general
139,1jfh,2.05,True,general
140,4e4a,2.05,True,general
141,4ty9,2.05,True,general
142,4x8t,2.05,True,general
143,5eiw,2.05,True,general
144,1qq9,2.06,True,general
145,1rdi,2.06,True,general
146,2zg3,2.06,True,general
147,4u54,2.06,True,refined
148,3ao4,2.07,True,core
149,4b0c,2.07,True,general
150,3rxp,2.08,True,general
151,5tyh,2.08,True,general
152,1njj,2.1,True,general
153,2zg1,2.1,True,general
154,4aml,2.1,True,general
155,4cs9,2.1,True,refined
156,3uf9,2.11,True,general
157,1qx1,2.12,True,general
158,2w8w,2.12,True,refined
159,3gv9,2.12,True,core
160,1p2g,2.13,True,general
161,1uxb,2.15,True,general
162,3rxg,2.15,True,general
163,4b0j,2.15,True,general
164,4q90,2.15,True,refined
165,5cs3,2.15,True,refined
166,6fap,2.15,True,general
167,6fi1,2.15,True,general
168,2ay9,2.16,True,general
169,4tim,2.16,True,refined
170,5fe6,2.16,True,refined
171,6ghj,2.16,True,refined
172,3gqz,2.17,True,refined
173,4y3j,2.17,True,refined
174,5oxk,2.17,True,refined
175,5z5f,2.17,True,refined
176,6gmx,2.17,True,general
177,3l7d,2.18,True,general
178,6g47,2.18,True,general
179,4ahr,2.19,True,refined
180,4ahs,2.19,True,refined
181,4amx,2.19,True,general
182,4jdf,2.19,True,general
183,4mre,2.19,True,refined
184,5nzp,2.19,True,general
185,1w1v,2.2,True,general
186,2vvo,2.2,True,general
187,4eh8,2.2,True,general
188,1x8d,2.21,True,refined
189,4g0z,2.21,True,refined
190,1icj,2.22,True,general
191,1m0n,2.22,True,refined
192,2aac,2.22,True,refined
193,4aci,2.22,True,refined
194,4uru,2.22,True,general
195,4ury,2.22,True,refined
196,4x11,2.22,True,general
197,5fsb,2.22,True,general
198,5hcl,2.22,True,general
199,5jqb,2.22,True,general
200,1ajp,2.23,True,refined
201,2igv,2.23,True,general
202,3ao5,2.23,True,refined
203,3i3b,2.23,True,refined
204,1rdl,2.24,True,general
205,2ay8,2.24,True,general
206,2os9,2.24,True,general
207,5f6v,2.24,True,general
208,5m9w,2.24,True,refined
209,5nzo,2.24,True,general
210,1ukt,2.25,True,general
211,1ew8,2.26,True,refined
212,3ao1,2.26,True,general
213,4eh9,2.26,True,general
214,4np2,2.26,True,refined
215,5v6u,2.26,True,general
216,1hge,2.27,True,general
217,1uto,2.27,True,core
218,4ahu,2.27,True,refined
219,4mfe,2.27,True,general
220,1ps3,2.28,True,core
221,2rjs,2.28,True,general
222,3fu0,2.28,True,general
223,3ip8,2.28,True,refined
224,2ay1,2.29,True,general
225,4ddk,2.29,True,core
226,4ehv,2.29,True,general
227,5fnj,2.29,True,general
228,1hyv,2.3,True,general
229,1inh,2.3,True,general
230,1jdj,2.3,True,general
231,1n1g,2.3,True,general
232,1o4g,2.3,True,general
233,1uxa,2.3,True,general
234,1w1p,2.3,True,general
235,2ay7,2.3,True,general
236,2hdu,2.3,True,general
237,2xix,2.3,True,general
238,2xlc,2.3,True,general
239,3dyo,2.3,True,refined
240,3kgq,2.3,True,refined
241,3mhw,2.3,True,refined
242,3pcg,2.3,True,refined
243,3rv4,2.3,True,refined
244,4b6e,2.3,True,general
245,4e3d,2.3,True,general
246,4g0y,2.3,True,refined
247,4jsz,2.3,True,core
248,4led,2.3,True,general
249,4wh7,2.3,True,general
250,5enc,2.3,True,general
251,5eni,2.3,True,general
252,5enj,2.3,True,general
253,5g42,2.3,True,general
254,6gmq,2.3,True,general
255,1m0o,2.31,True,refined
256,4y0a,2.31,True,refined
257,5mz8,2.31,True,refined
258,2qve,2.32,True,general
259,5aol,2.32,True,refined
260,1z6d,2.34,True,general
261,4iie,2.34,True,refined
262,5elf,2.34,True,general
263,1qi0,2.35,True,general
264,3gtc,2.35,True,refined
265,4k3k,2.35,True,general
266,4y3y,2.35,True,refined
267,1o4j,2.36,True,general
268,3g2z,2.36,True,core
269,5fsc,2.36,True,refined
270,3t0d,2.37,True,refined
271,4jck,2.37,True,general
272,6rnt,2.37,True,refined
273,3f6e,2.38,True,refined
274,4aj2,2.38,True,general
275,1f73,2.39,True,refined
276,1nwl,2.39,True,refined
277,4nyt,2.39,True,general
278,4tya,2.39,True,general
280,2wi1,2.4,True,general
281,3dxg,2.4,True,core
282,3l7b,2.4,True,core
283,3pcb,2.4,True,general
284,3t2t,2.4,True,general
285,4u5l,2.4,True,general
286,4y38,2.4,True,general
287,4zsm,2.4,True,general
288,1o4r,2.41,True,general
289,2wsx,2.41,True,general
290,4u5s,2.41,True,refined
291,4u5o,2.42,True,refined
292,5os3,2.43,True,general
293,1o4h,2.44,True,general
294,1oba,2.44,True,refined
295,1t4s,2.44,True,general
296,2i2b,2.44,True,general
297,2xiy,2.44,True,general
298,3ked,2.44,True,general
299,3l7c,2.44,True,general
300,3mjl,2.44,True,refined
301,4d62,2.44,True,general
302,1gbq,2.46,True,general
303,1o4o,2.46,True,general
304,2aez,2.46,True,general
305,3l79,2.46,True,general
306,4ah9,2.46,True,general
307,4ddm,2.46,True,refined
308,4eh6,2.46,True,general
309,4x8u,2.46,True,refined
310,5aqh,2.46,True,general
311,1tok,2.47,True,general
312,1utl,2.47,True,refined
313,3rik,2.47,True,general
314,4gne,2.47,True,general
315,4y4j,2.47,True,refined
316,5dv4,2.47,True,general
317,5jal,2.47,True,general
318,6fhq,2.47,True,refined
319,1gyx,2.48,True,refined
320,4u5n,2.48,True,refined
321,4ze6,2.48,True,general
322,5mn1,2.48,True,refined
323,5mnb,2.48,True,general
324,5mnx,2.48,True,general
325,5mon,2.48,True,general
326,1o4q,2.49,True,general
327,4efk,2.49,True,refined
328,4ej2,2.49,True,general
329,4kz7,2.49,True,refined
330,1ai4,2.5,True,refined
331,3g30,2.51,True,refined
332,4ctj,2.51,True,general
333,1rq2,2.52,True,general
334,1wdr,2.52,True,general
335,3ad7,2.52,True,general
336,3bf1,2.52,True,general
337,3fq7,2.52,True,general
338,3gr2,2.52,True,core
339,3mfv,2.52,True,refined
340,3vdb,2.52,True,refined
341,4e3f,2.52,True,general
342,4g0q,2.52,True,refined
343,4urz,2.52,True,refined
344,5f6d,2.52,True,general
345,5f6u,2.52,True,general
346,4hj2,2.53,True,refined
347,1iup,2.54,True,general
348,1il3,2.55,True,general
349,1kf0,2.55,True,general
350,3b3s,2.55,True,refined
351,3ovn,2.55,True,refined
352,5eif,2.55,True,general
353,5n53,2.55,True,general
354,5os0,2.55,True,general
355,1gwv,2.57,True,refined
356,2ria,2.57,True,general
357,2wq4,2.57,True,general
358,3kgp,2.57,True,core
359,5v4q,2.57,True,general
360,2ay5,2.59,True,general
361,2jst,2.59,True,general
362,3gvb,2.59,True,refined
363,4o3a,2.59,True,general
364,4o3c,2.59,True,refined
365,4wef,2.59,True,general
366,5tpb,2.59,True,general
367,1o4p,2.6,True,general
368,2c4v,2.6,True,general
369,2r5a,2.6,True,refined
370,3gwv,2.6,True,general
371,3rxf,2.6,True,general
372,4up5,2.6,True,refined
373,5g46,2.6,True,refined
374,1cze,2.62,True,general
375,1w1y,2.62,True,general
376,2kfh,2.62,True,general
377,3f37,2.62,True,refined
378,3f38,2.62,True,general
379,3fk1,2.62,True,general
380,3rxl,2.62,True,general
381,4lnf,2.62,True,general
382,4lno,2.62,True,general
383,5foo,2.62,True,general
384,5lvd,2.62,True,refined
385,1ajn,2.63,True,refined
386,1g5f,2.64,True,general
387,1o4i,2.64,True,general
388,3p1d,2.64,True,general
389,4i8x,2.64,True,refined
390,4q7w,2.64,True,refined
391,4q8y,2.64,True,refined
392,4ufl,2.64,True,refined
393,6fhu,2.64,True,refined
394,5ey0,2.65,True,refined
395,1il5,2.66,True,general
396,3a1e,2.66,True,refined
397,3rxb,2.66,True,general
398,4y2p,2.66,True,general
399,5eld,2.66,True,general
400,3lvw,2.67,True,refined
401,1hgi,2.68,True,general
402,1o8b,2.68,True,general
403,2q72,2.68,True,general
404,3rxk,2.68,True,general
405,4b3c,2.68,True,refined
406,4b3d,2.68,True,refined
407,5aqj,2.68,True,general
408,5aqp,2.68,True,general
409,3elc,2.69,True,refined
410,4usw,2.69,True,general
411,5k5s,2.69,True,general
412,1br5,2.7,True,general
413,1gym,2.7,True,general
414,1lt5,2.7,True,general
415,1tc1,2.7,True,general
416,1ylv,2.7,True,general
417,2fzc,2.7,True,refined
418,2ha4,2.7,True,general
419,2krd,2.7,True,general
420,2ohk,2.7,True,general
421,2ow6,2.7,True,general
422,2uyn,2.7,True,refined
423,3bra,2.7,True,refined
424,3ftz,2.7,True,general
425,3fud,2.7,True,general
426,3fuf,2.7,True,general
427,3fuh,2.7,True,general
428,3gk2,2.7,True,general
429,3gsg,2.7,True,general
430,3hvg,2.7,True,general
431,3rqw,2.7,True,general
432,3sl0,2.7,True,general
433,3zsw,2.7,True,general
434,3zsz,2.7,True,general
435,3zt1,2.7,True,general
436,4h4b,2.7,True,general
437,4okp,2.7,True,general
438,4old,2.7,True,general
439,4wks,2.7,True,general
440,4ypf,2.7,True,general
441,4yrc,2.7,True,general
442,4yrg,2.7,True,general
443,4yrr,2.7,True,general
444,5aok,2.7,True,general
445,6fty,2.7,True,general
446,4kpz,2.71,True,general
447,1pfu,2.72,True,refined
448,2rkd,2.72,True,refined
449,3p4r,2.72,True,general
450,5fsx,2.72,True,refined
451,1dg9,2.74,True,general
452,2qwb,2.74,True,refined
453,2vyt,2.74,True,refined
454,4m6u,2.74,True,refined
455,4ndu,2.74,True,refined
456,5os2,2.74,True,refined
457,1rql,2.75,True,refined
458,5oyd,2.75,True,general
459,1ny2,2.76,True,general
460,4bt5,2.76,True,refined
461,5er4,2.76,True,refined
462,2bet,2.77,True,refined
463,2p3o,2.77,True,general
464,3fcq,2.77,True,core
465,3l0n,2.77,True,general
466,4a4h,2.77,True,general
467,4g5y,2.77,True,general
468,4kz3,2.77,True,refined
469,4urv,2.77,True,general
470,4ykk,2.77,True,refined
471,5aqn,2.77,True,general
472,5oug,2.77,True,general
473,6er4,2.77,True,general
474,2yiv,2.78,True,general
475,3ftw,2.78,True,general
476,4yrt,2.78,True,general
477,5os4,2.78,True,refined
478,2bge,2.8,True,general
479,2bza,2.8,True,refined
480,3zt4,2.8,True,general
481,4kz8,2.8,True,general
482,4urw,2.8,True,general
483,4yw2,2.8,True,general
484,5fbi,2.8,True,refined
485,5fov,2.8,True,refined
486,5hki,2.8,True,general
487,5ofw,2.8,True,general
488,3djx,2.81,True,refined
489,4eh4,2.81,True,general
490,4oyt,2.81,True,general
491,4rrg,2.81,True,refined
492,1czc,2.82,True,general
493,1p17,2.82,True,general
494,2a3a,2.82,True,general
495,2rib,2.82,True,general
496,2w6z,2.82,True,general
497,2xj0,2.82,True,general
498,2yc0,2.82,True,general
499,3fue,2.82,True,general
500,3lka,2.82,True,core
501,3ppr,2.82,True,refined
502,4dsu,2.82,True,refined
503,4k7i,2.82,True,refined
504,4pb1,2.82,True,general
505,4z46,2.82,True,general
506,5aip,2.82,True,general
507,6cw4,2.82,True,general
508,6evm,2.82,True,general
509,6mj7,2.82,True,refined
510,4yz5,2.83,True,general
511,3fu3,2.84,True,general
512,3moh,2.84,True,general
513,3zt2,2.84,True,core
514,4cgj,2.84,True,general
515,1il4,2.85,True,general
516,2a29,2.85,True,general
517,2ork,2.85,True,general
518,3atk,2.85,True,general
519,3k3g,2.85,True,general
520,3rxa,2.85,True,general
521,3udh,2.85,True,core
522,4luv,2.85,True,general
523,4mlt,2.85,True,general
524,4x47,2.85,True,general
525,4ym2,2.85,True,general
526,5aqo,2.85,True,general
527,5th4,2.85,True,refined
528,3qx8,2.86,True,general
529,3zt3,2.86,True,refined
530,4ouj,2.86,True,general
531,4pd5,2.86,True,general
532,5z1c,2.86,True,general
533,4fgz,2.87,True,general
534,5thj,2.87,True,general
535,1e34,2.88,True,general
536,2woq,2.88,True,general
537,4a4f,2.88,True,general
538,4ucv,2.88,True,general
539,1cet,2.89,True,refined
540,1iih,2.89,True,refined
541,1ugp,2.89,True,general
542,2k2r,2.89,True,general
543,2wpb,2.89,True,general
544,2wtx,2.89,True,general
545,3f36,2.89,True,general
546,3g31,2.89,True,core
547,4b35,2.89,True,refined
548,4cd8,2.89,True,general
549,4gqq,2.89,True,refined
550,4kzb,2.89,True,general
551,4llx,2.89,True,core
552,4u5u,2.89,True,general
553,4urx,2.89,True,general
554,5aes,2.89,True,general
555,5flt,2.89,True,refined
556,5ngz,2.89,True,refined
557,5orv,2.89,True,refined
558,6b7b,2.89,True,refined
559,6f6s,2.89,True,general
560,6mvu,2.89,True,general
561,3c2u,2.9,True,refined
562,5aom,2.9,True,general
563,5dv2,2.9,True,general
564,1ms0,2.91,True,general
565,2ay4,2.91,True,general
566,2pri,2.91,True,general
567,4kc1,2.91,True,general
568,1eef,2.92,True,general
569,1h2k,2.92,True,refined
570,1o4k,2.92,True,general
571,1p6e,2.92,True,general
572,1zp5,2.92,True,general
573,2aa9,2.92,True,general
574,2aay,2.92,True,general
575,2fkf,2.92,True,general
576,2fw6,2.92,True,refined
577,2fwp,2.92,True,general
578,2kfg,2.92,True,general
579,3alt,2.92,True,refined
580,3iaf,2.92,True,general
581,3k8c,2.92,True,refined
582,4ai5,2.92,True,refined
583,4ef6,2.92,True,refined
584,4lm3,2.92,True,refined
585,4u4s,2.92,True,core
586,4x14,2.92,True,general
587,4y2q,2.92,True,refined
588,4zki,2.92,True,general
589,5c0k,2.92,True,general
590,5ct2,2.92,True,refined
591,5x4m,2.92,True,general
592,6fv4,2.92,True,refined
593,1tng,2.93,True,refined
594,3ftv,2.93,True,general
595,4zv2,2.93,True,refined
596,1p6d,2.94,True,general
597,2vmc,2.94,True,refined
598,4y62,2.95,True,general
599,1f4e,2.96,True,refined
600,1w1t,2.96,True,general
601,1ykp,2.96,True,general
602,2br6,2.96,True,general
603,2kdh,2.96,True,general
604,2w8j,2.96,True,refined
605,3g34,2.96,True,refined
606,3imc,2.96,True,refined
607,3img,2.96,True,general
608,4bgy,2.96,True,general
609,4dst,2.96,True,refined
610,4k3l,2.96,True,general
611,4mrg,2.96,True,refined
612,4owm,2.96,True,core
613,5fng,2.96,True,refined
614,2hw2,2.97,True,general
615,4ceb,2.97,True,refined
616,5flq,2.97,True,refined
617,2rnw,2.98,True,general
618,3ckb,2.98,True,refined
619,3djq,2.98,True,refined
620,4ibc,2.98,True,refined
621,5aba,2.98,True,core
622,5aqu,2.98,True,general
623,3ump,2.99,True,general
624,4a4g,2.99,True,general
625,4bps,2.99,True,refined
626,1ecq,3.0,True,refined
627,1hqg,3.0,True,general
628,1mcz,3.0,True,general
629,1ux7,3.0,True,general
630,1w7h,3.0,True,general
631,1wbg,3.0,True,general
632,1wbo,3.0,True,general
633,1ws4,3.0,True,refined
634,1yc5,3.0,True,general
635,1z9h,3.0,True,general
636,1zm7,3.0,True,general
637,2f1b,3.0,True,general
638,2h2e,3.0,True,general
639,2q8h,3.0,True,refined
640,2r0y,3.0,True,general
641,2rka,3.0,True,refined
642,2v3u,3.0,True,refined
643,2vin,3.0,True,general
644,2vtm,3.0,True,general
645,2wa3,3.0,True,general
646,2xgm,3.0,True,general
647,2xgo,3.0,True,general
648,2xp3,3.0,True,general
649,2ych,3.0,True,general
650,3ap7,3.0,True,general
651,3d9o,3.0,True,general
652,3eka,3.0,True,general
653,3grj,3.0,True,general
654,3ime,3.0,True,refined
655,3nf8,3.0,True,general
656,3nk8,3.0,True,general
657,3ob0,3.0,True,general
658,4b2i,3.0,True,refined
659,4fe9,3.0,True,general
660,4k0o,3.0,True,refined
661,4k5z,3.0,True,general
662,4k64,3.0,True,general
663,4k72,3.0,True,general
664,4l51,3.0,True,refined
665,4l5j,3.0,True,general
666,4lkh,3.0,True,general
667,4llk,3.0,True,refined
668,4m5r,3.0,True,general
669,4o7d,3.0,True,general
670,4oyp,3.0,True,general
671,4oz2,3.0,True,general
672,4r3w,3.0,True,refined
673,4txs,3.0,True,general
674,4u0w,3.0,True,refined
675,4wh9,3.0,True,general
676,5a5o,3.0,True,general
677,5aqr,3.0,True,general
678,5c7b,3.0,True,general
679,5ehw,3.0,True,refined
680,5fnq,3.0,True,general
681,5jah,3.0,True,general
682,5l97,3.0,True,general
683,5lz2,3.0,True,general
684,5tpc,3.0,True,general
685,5u66,3.0,True,general
686,5ye8,3.0,True,general
687,6fh6,3.0,True,general
688,6fh7,3.0,True,general
689,6ftz,3.0,True,refined
690,6gjy,3.0,True,general
691,1g42,3.01,True,general
692,1utm,3.01,True,refined
693,4g0p,3.01,True,refined
694,5jan,3.01,True,general
695,2vmd,3.02,True,refined
696,3dc2,3.02,True,general
697,3fuk,3.02,True,general
698,4q81,3.02,True,refined
699,4xm8,3.02,True,general
700,5z4h,3.02,True,general
701,6f6n,3.02,True,general
702,1ogd,3.03,True,refined
703,1ws5,3.03,True,general
704,2ggu,3.03,True,general
705,2ha3,3.03,True,refined
706,3adv,3.03,True,general
707,3esj,3.03,True,general
708,4lm2,3.03,True,refined
709,4qp2,3.03,True,refined
710,5aoi,3.03,True,refined
711,1rtf,3.04,True,refined
712,2pcu,3.04,True,general
713,3ay0,3.04,True,general
714,3t08,3.04,True,refined
715,3t1m,3.04,True,refined
716,3zvv,3.04,True,general
717,4i7k,3.04,True,refined
718,4lm4,3.04,True,refined
719,5fls,3.04,True,refined
720,1f74,3.05,True,refined
721,1gvk,3.05,True,general
722,1gzg,3.05,True,general
723,1o41,3.05,True,general
724,1pum,3.05,True,general
725,1uj5,3.05,True,refined
726,1uj6,3.05,True,general
727,2ohl,3.05,True,general
728,2vcw,3.05,True,general
729,4g5f,3.05,True,refined
730,4guj,3.05,True,general
731,4u5v,3.05,True,general
732,5abe,3.05,True,general
733,5ort,3.05,True,general
734,2jfh,3.06,True,general
735,2ksa,3.06,True,general
736,3atm,3.06,True,general
737,3hw1,3.06,True,general
738,3rxi,3.06,True,general
739,3rxj,3.06,True,general
740,4csy,3.06,True,general
741,4nyi,3.06,True,general
742,1rnm,3.07,True,refined
743,1s26,3.07,True,general
744,3mof,3.07,True,refined
745,4yrs,3.07,True,general
746,1hiy,3.08,True,general
747,1y1z,3.08,True,refined
748,4yv1,3.08,True,general
749,5ehv,3.08,True,refined
750,6ew6,3.08,True,general
751,1mdl,3.09,True,general
752,1ugw,3.09,True,general
753,4eh5,3.09,True,general
754,1a5v,3.1,True,general
755,1af2,3.1,True,general
756,1ec9,3.1,True,refined
757,1pu7,3.1,True,general
758,1pu8,3.1,True,general
759,1swi,3.1,True,general
760,2xdl,3.1,True,core
761,3buf,3.1,True,refined
762,3f78,3.1,True,refined
763,3mo8,3.1,True,general
764,4cjr,3.1,True,refined
765,4j79,3.1,True,general
766,4kz6,3.1,True,core
767,4pl6,3.1,True,general
768,4pxf,3.1,True,general
769,4y2j,3.1,True,general
770,4y64,3.1,True,general
771,5aqq,3.1,True,general
772,5cr7,3.1,True,general
773,5eh8,3.1,True,refined
774,5ggo,3.1,True,general
775,5lzg,3.1,True,general
776,5lzh,3.1,True,general
777,5orw,3.1,True,refined
778,1k2i,3.11,True,general
779,1uod,3.11,True,general
780,2ay6,3.11,True,general
781,2lto,3.11,True,general
782,2lwi,3.11,True,general
783,3c2r,3.11,True,refined
784,3msj,3.11,True,general
785,4aj1,3.11,True,general
786,4ajk,3.11,True,general
787,4d52,3.11,True,general
788,4gbz,3.11,True,general
789,4wf4,3.11,True,general
790,5enb,3.11,True,general
791,1h9l,3.12,True,general
792,2ksb,3.12,True,general
793,4bt3,3.12,True,refined
794,4cgi,3.12,True,refined
795,4uct,3.12,True,general
796,5ey4,3.12,True,refined
797,1ax0,3.13,True,refined
798,3kac,3.13,True,general
799,5c5t,3.13,True,refined
800,2f1a,3.14,True,general
801,2ya7,3.14,True,refined
802,3odk,3.14,True,general
803,4b34,3.14,True,refined
804,6cea,3.14,True,general
805,1e6q,3.15,True,refined
806,1eei,3.15,True,general
807,1k9q,3.15,True,general
808,1noi,3.15,True,general
809,1noj,3.15,True,general
810,1nok,3.15,True,general
811,1rin,3.15,True,general
812,2fr8,3.15,True,general
813,2p8n,3.15,True,general
814,3cgy,3.15,True,general
815,3e73,3.15,True,general
816,4de5,3.15,True,refined
817,4fzj,3.15,True,refined
818,4lw1,3.15,True,general
819,4x0z,3.15,True,general
820,5e5g,3.15,True,general
821,5flo,3.15,True,refined
822,5fnf,3.15,True,refined
823,2ymd,3.16,True,core
824,3ad8,3.16,True,general
825,3ecn,3.16,True,general
826,3f34,3.16,True,refined
827,3f35,3.16,True,general
828,3kpu,3.16,True,general
829,3lk0,3.16,True,general
830,4eh2,3.16,True,general
831,4pli,3.16,True,general
832,5n1x,3.16,True,general
833,4hnc,3.17,True,general
834,4uce,3.17,True,general
835,4x3i,3.17,True,general
836,5fot,3.17,True,refined
837,5fox,3.17,True,refined
838,5ose,3.17,True,refined
839,6cv8,3.17,True,general
840,1b9s,3.18,True,general
841,1lbk,3.18,True,refined
842,1ro7,3.18,True,general
843,2wik,3.18,True,general
844,3at1,3.18,True,general
845,3bug,3.18,True,refined
846,3kid,3.18,True,general
847,1o6i,3.19,True,general
848,2zdx,3.19,True,general
849,3dxh,3.19,True,general
850,3g1v,3.19,True,refined
851,4gzx,3.19,True,refined
852,4mlx,3.19,True,general
853,6f6i,3.19,True,general
854,1axz,3.2,True,general
855,2nd0,3.2,True,general
856,2w0x,3.2,True,general
857,2wij,3.2,True,general
858,3kab,3.2,True,general
859,4nrm,3.2,True,general
860,5cs6,3.2,True,refined
861,5d9p,3.2,True,general
862,5flp,3.2,True,general
863,5ijr,3.2,True,refined
864,1s5z,3.21,True,refined
865,3fty,3.21,True,general
866,5mwo,3.21,True,general
867,5osd,3.21,True,general
868,6tim,3.21,True,general
869,1br6,3.22,True,refined
870,1e6s,3.22,True,refined
871,1e72,3.22,True,general
872,1evh,3.22,True,general
873,1ew9,3.22,True,refined
874,1k1y,3.22,True,refined
875,1q5l,3.22,True,general
876,1qwu,3.22,True,general
877,1tog,3.22,True,general
878,1x6u,3.22,True,general
879,1zc9,3.22,True,refined
